case,F_status,source_grids,sample_count,search_score_calls,final_score_calls,common_additions,scan_50,scan_25,source_change_m,station_change_m,tolerance_change_m,rank_inversions,material_rank_inversions,elapsed_seconds,stop_reason,stability,old_feasibility,old_signal_status,old_action_reasons,fixed_old_J,new_J,actual_movement_seconds
standard_known_rho_1000,OK,"[[5, 13], [9, 25], [17, 49]]",2602,2281,8,1711,"{'step_m': 50.0, 'planned': 1640, 'scanned': 1640, 'fraction': 1.0, 'feasible': 483}","{'step_m': 25.0, 'planned': 6480, 'scanned': 6480, 'fraction': 1.0, 'feasible': 1943}",,,,3,3,32.59115095798916,TIME_BUDGET,NEEDS_REFINEMENT,IN,IN,[],55.02130385903691,55.02130385903691,180.27756377319946
F9_tangent_B400,OK,"[[5, 13], [9, 25], [17, 49]]",3893,799,6,1501,"{'step_m': 50.0, 'planned': 289, 'scanned': 289, 'fraction': 1.0, 'feasible': 133}","{'step_m': 25.0, 'planned': 1089, 'scanned': 1089, 'fraction': 1.0, 'feasible': 539}",0.11013554385721136,0.0,0.0,0,0,16.790645332992426,COMPLETED,NEEDS_REFINEMENT,OUT,IN,['outside_movement_budget'],,50.64093856581221,79.9999988079071
F9_B10,OK,"[[5, 13], [9, 25], [17, 49]]",4254,257,6,1819,"{'step_m': 50.0, 'planned': 1, 'scanned': 1, 'fraction': 1.0, 'feasible': 1}","{'step_m': 25.0, 'planned': 1, 'scanned': 1, 'fraction': 1.0, 'feasible': 1}",31.123608756835438,72.17890689184424,0.0,0,0,25.441525417001685,COMPLETED,NEEDS_REFINEMENT,OUT,IN,['outside_movement_budget'],,1371.5764767502458,1.9999980926513672
F9_B600,OK,"[[5, 13], [9, 25], [17, 49]]",4254,1766,6,1587,"{'step_m': 50.0, 'planned': 425, 'scanned': 425, 'fraction': 1.0, 'feasible': 189}","{'step_m': 25.0, 'planned': 1666, 'scanned': 1666, 'fraction': 1.0, 'feasible': 769}",,0.0,,0,0,18.46712612498959,COMPLETED,NEEDS_REFINEMENT,OUT,IN,['outside_movement_budget'],,207.2003201567482,119.99999821186066
edge_S4,OK,"[[5, 13], [9, 25], [17, 49]]",2471,2327,6,1560,"{'step_m': 50.0, 'planned': 1600, 'scanned': 1600, 'fraction': 1.0, 'feasible': 500}","{'step_m': 25.0, 'planned': 6480, 'scanned': 6480, 'fraction': 1.0, 'feasible': 2020}",,,,0,0,31.47522116600885,TIME_BUDGET,NEEDS_REFINEMENT,IN,IN,[],119.14787067225585,119.14787067225585,208.80613017821102
standard_known_rho_1250,OK,"[[5, 13], [9, 25], [17, 49]]",2570,3362,8,1696,"{'step_m': 50.0, 'planned': 2550, 'scanned': 2550, 'fraction': 1.0, 'feasible': 762}","{'step_m': 25.0, 'planned': 10100, 'scanned': 10100, 'fraction': 1.0, 'feasible': 3037}",,,,3,3,32.31653495799401,TIME_BUDGET,NEEDS_REFINEMENT,IN,IN,[],83.25078023036588,83.25078023036588,180.27756377319946
edge_known_rho_1500,OK,"[[5, 13], [9, 25], [17, 49]]",2477,4915,6,1583,"{'step_m': 50.0, 'planned': 3660, 'scanned': 3660, 'fraction': 1.0, 'feasible': 1133}","{'step_m': 25.0, 'planned': 14641, 'scanned': 14641, 'fraction': 1.0, 'feasible': 4548}",,,,0,0,31.459613957995316,TIME_BUDGET,NEEDS_REFINEMENT,IN,IN,[],119.14787067225585,119.14787067225585,208.80613017821102
F9_B200,OK,"[[5, 13], [9, 25], [17, 49]]",4254,475,6,1545,"{'step_m': 50.0, 'planned': 81, 'scanned': 81, 'fraction': 1.0, 'feasible': 21}","{'step_m': 25.0, 'planned': 289, 'scanned': 289, 'fraction': 1.0, 'feasible': 91}",,46.983404298179494,,0,0,29.933870624998235,COMPLETED,NEEDS_REFINEMENT,OUT,IN,['outside_movement_budget'],,511.2621169438209,39.999998807907104
tangent_default,OK,"[[5, 13], [9, 25], [17, 49]]",2862,4032,6,2003,"{'step_m': 50.0, 'planned': 1600, 'scanned': 1600, 'fraction': 1.0, 'feasible': 912}","{'step_m': 25.0, 'planned': 6400, 'scanned': 6400, 'fraction': 1.0, 'feasible': 3651}",,,,0,0,31.85298862500349,TIME_BUDGET,NEEDS_REFINEMENT,无旧点,,,,19.92964645225733,128.06248474865697
tangent_S1,OK,"[[5, 13], [9, 25], [17, 49]]",2839,4017,6,1990,"{'step_m': 50.0, 'planned': 1600, 'scanned': 1600, 'fraction': 1.0, 'feasible': 911}","{'step_m': 25.0, 'planned': 6400, 'scanned': 6400, 'fraction': 1.0, 'feasible': 3648}",,,,0,0,32.36820512500708,TIME_BUDGET,NEEDS_REFINEMENT,IN,IN,[],20.05474935426619,20.05474935426619,128.06248474865697
ordinary_default,OK,"[[5, 13], [9, 25], [17, 49]]",2313,2239,6,1442,"{'step_m': 50.0, 'planned': 1600, 'scanned': 1600, 'fraction': 1.0, 'feasible': 491}","{'step_m': 25.0, 'planned': 6400, 'scanned': 6400, 'fraction': 1.0, 'feasible': 1948}",,,,1,0,31.788891332995263,TIME_BUDGET,NEEDS_REFINEMENT,无旧点,,,,132.95874381448778,177.34147850968196
F9_tangent_B200,OK,"[[5, 13], [9, 25], [17, 49]]",3893,442,6,1506,"{'step_m': 50.0, 'planned': 81, 'scanned': 81, 'fraction': 1.0, 'feasible': 44}","{'step_m': 25.0, 'planned': 289, 'scanned': 289, 'fraction': 1.0, 'feasible': 176}",2.4581597077188775,0.0,0.0,0,0,18.831425833996036,COMPLETED,NEEDS_REFINEMENT,OUT,IN,['outside_movement_budget'],,112.57594842071298,39.999998807907104
standard_default,OK,"[[5, 13], [9, 25], [17, 49]]",2480,2245,6,1577,"{'step_m': 50.0, 'planned': 1640, 'scanned': 1640, 'fraction': 1.0, 'feasible': 483}","{'step_m': 25.0, 'planned': 6480, 'scanned': 6480, 'fraction': 1.0, 'feasible': 1943}",,,,0,0,31.79644270800054,TIME_BUDGET,NEEDS_REFINEMENT,无旧点,,,,129.74139553705635,180.27756377319946
ordinary_S1,OK,"[[5, 13], [9, 25], [17, 49]]",2301,2255,4,1415,"{'step_m': 50.0, 'planned': 1600, 'scanned': 1600, 'fraction': 1.0, 'feasible': 491}","{'step_m': 25.0, 'planned': 6400, 'scanned': 6400, 'fraction': 1.0, 'feasible': 1948}",,,,0,0,30.981728958009626,TIME_BUDGET,NEEDS_REFINEMENT,IN,IN,[],133.55188525210886,133.55188525210914,177.34147850968193
edge_default,OK,"[[5, 13], [9, 25], [17, 49]]",2471,2351,6,1560,"{'step_m': 50.0, 'planned': 1600, 'scanned': 1600, 'fraction': 1.0, 'feasible': 511}","{'step_m': 25.0, 'planned': 6480, 'scanned': 6480, 'fraction': 1.0, 'feasible': 2066}",,,,0,0,31.722601916000713,TIME_BUDGET,NEEDS_REFINEMENT,无旧点,,,,119.14787067225585,208.80613017821102
F9_tangent_B500,OK,"[[5, 13], [9, 25], [17, 49]]",3893,1073,6,1591,"{'step_m': 50.0, 'planned': 399, 'scanned': 399, 'fraction': 1.0, 'feasible': 196}","{'step_m': 25.0, 'planned': 1517, 'scanned': 1517, 'fraction': 1.0, 'feasible': 780}",1.9204990423054582,0.0,0.0,0,0,21.827268792010727,COMPLETED,NEEDS_REFINEMENT,OUT,IN,['outside_movement_budget'],,35.60347756513441,100.0
edge_known_rho_1000,OK,"[[5, 13], [9, 25], [17, 49]]",2424,2888,6,1530,"{'step_m': 50.0, 'planned': 1600, 'scanned': 1600, 'fraction': 1.0, 'feasible': 511}","{'step_m': 25.0, 'planned': 6480, 'scanned': 6480, 'fraction': 1.0, 'feasible': 2066}",0.0,9.409709081128867,0.0,0,0,31.751135375001468,TIME_BUDGET,NEEDS_REFINEMENT,IN,IN,[],114.39213824315273,67.76100349682716,193.9238470047712
standard_S1,OK,"[[5, 13], [9, 25], [17, 49]]",2504,2245,6,1592,"{'step_m': 50.0, 'planned': 1640, 'scanned': 1640, 'fraction': 1.0, 'feasible': 483}","{'step_m': 25.0, 'planned': 6480, 'scanned': 6480, 'fraction': 1.0, 'feasible': 1943}",,,,0,0,32.07465699999011,TIME_BUDGET,NEEDS_REFINEMENT,IN,IN,[],130.32238780804232,130.32238780804232,180.27756377319946
edge_known_rho_1250,OK,"[[5, 13], [9, 25], [17, 49]]",2484,4302,6,1588,"{'step_m': 50.0, 'planned': 2601, 'scanned': 2601, 'fraction': 1.0, 'feasible': 790}","{'step_m': 25.0, 'planned': 10201, 'scanned': 10201, 'fraction': 1.0, 'feasible': 3186}",0.0,0.0,0.0,0,0,31.43428495900298,TIME_BUDGET,NEEDS_REFINEMENT,IN,IN,[],114.39213824315273,84.70125429751752,242.40480920299888
standard_known_rho_1500,OK,"[[5, 13], [9, 25], [17, 49]]",2447,4666,6,1561,"{'step_m': 50.0, 'planned': 3660, 'scanned': 3660, 'fraction': 1.0, 'feasible': 1097}","{'step_m': 25.0, 'planned': 14520, 'scanned': 14520, 'fraction': 1.0, 'feasible': 4373}",,,,0,0,32.145671457998105,TIME_BUDGET,NEEDS_REFINEMENT,IN,IN,[],129.74139553705635,129.74139553705635,180.27756377319946
