active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,clear_calls,cleared,commands,cpu_s,discovered_channels,early_optical_success,early_optical_trials,failure,inconsistent_updates,joint_route_solves,known_upper_bound_skips,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_max_cover_radius,outer_priority_used,per_source_s,policy_cleared_channels,problem,seed,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,sources,split,stations_visited,stop_reason,switches,total_virtual_s,wall_s
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,12,10,133,0.018558999999999992,10,3,5,,0,17,,119,joint7,[],12507.464337677739,0,0.0,,326.6492866,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,7,,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3266.492866,0.01859941700240597
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,12,10,133,0.01764999999999997,10,3,5,,0,17,0,119,fast7,[],12507.464337677739,0,0.0,,326.6492866,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,7,,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3266.492866,0.017650375026278198
11,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,14,10,159,0.021322000000000008,10,3,7,,0,19,0,143,fast9,[],14540.74588043854,0,0.0,,381.9149178,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,6,,6,10,ordinary,9,full_coverage_and_all_discovered_cleared,134,3819.149178,0.021371749986428767
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,11,18,15,148,0.02726299999999998,15,4,7,,0,22,,128,joint7,[],11291.627306304414,0,0.0,,206.95503079999997,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,32,,0,15,ordinary,7,full_coverage_and_all_discovered_cleared,122,3104.325462,0.027280334034003317
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,11,18,15,148,0.02737299999999998,15,4,7,,0,22,0,128,fast7,[],11291.627306304414,0,0.0,,206.95503079999997,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,32,,0,15,ordinary,7,full_coverage_and_all_discovered_cleared,122,3104.325462,0.02739904198097065
6,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,4,16,15,154,0.026168000000000025,15,11,12,,0,24,0,136,fast9,[],12384.746995276531,0,0.0,,223.99662666666666,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,28,,0,15,ordinary,9,full_coverage_and_all_discovered_cleared,125,3359.9494,0.02616816700901836
8,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,6,17,15,146,0.02542099999999997,15,9,11,,0,22,,127,joint7,[],12853.696604615454,0,0.0,,226.71595459999998,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,29,,7,15,ordinary,7,full_coverage_and_all_discovered_cleared,114,3400.739319,0.02546849998179823
8,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,6,17,15,146,0.026334000000000024,15,9,11,,0,22,0,127,fast7,[],12853.696604615454,0,0.0,,226.71595459999998,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,29,,7,15,ordinary,7,full_coverage_and_all_discovered_cleared,114,3400.739319,0.026354500034358352
8,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,9,16,15,169,0.027846999999999955,15,6,7,,0,24,0,151,fast9,[],14705.629743154657,0,0.0,,260.87506306666666,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,31,,2,15,ordinary,9,full_coverage_and_all_discovered_cleared,139,3913.125946,0.027853374951519072
8,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,6,13,10,140,0.01987,10,4,7,,0,17,,125,joint7,[],11227.30074824561,0,0.0,,304.946015,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,8,,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,120,3049.46015,0.019887666043359786
8,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,6,13,10,140,0.019434000000000007,10,4,7,,0,17,0,125,fast7,[],11227.30074824561,0,0.0,,304.946015,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,8,,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,120,3049.46015,0.019455374975223094
6,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,6,10,10,155,0.018249000000000015,10,4,4,,0,19,0,143,fast9,[],12551.626899241352,0,0.0,,341.2325381,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",3,70,6,,1,10,ordinary,9,full_coverage_and_all_discovered_cleared,137,3412.325381,0.01824991701869294
7,0,True,0,0,0,0,0,uniform__iid__71,uniform__iid,6,13,12,133,0.022811000000000026,12,6,7,,0,19,,118,joint7,[],12181.245343005156,0,0.0,,266.6040889166667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,22,,4,12,ordinary,7,full_coverage_and_all_discovered_cleared,110,3199.249067,0.02284191595390439
7,0,True,0,0,0,0,0,uniform__iid__71,uniform__iid,6,13,12,133,0.022672000000000025,12,6,7,,0,19,0,118,fast7,[],12181.245343005156,0,0.0,,266.6040889166667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,22,,4,12,ordinary,7,full_coverage_and_all_discovered_cleared,110,3199.249067,0.022674083011224866
4,0,True,0,0,0,0,0,uniform__iid__71,uniform__iid,4,12,12,152,0.02262799999999998,12,8,8,,0,21,0,138,fast9,[],12604.210077942187,0,0.0,,282.82016791666666,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",3,71,20,,8,12,ordinary,9,full_coverage_and_all_discovered_cleared,123,3393.842015,0.022688624972943217
