All 10 proposed layouts passed their continuous sufficient coverage certificates before source-scene evaluation. Q3 outer-Voronoi bounds <1000m. Q4 polar25 has hull inradius 1804.644916m and relevant maximum triangle edge 996.367253m.
Naming correction: initial JSON id q4_polar38 consists of 1+6+12+18=37 stations; all evaluation labels use polar37, frozen coordinates unchanged.
Full-policy comparison: Q3 8 methods, Q4 8 methods, each 75 ordinary +18 stress =1488 scored executions expected. Background command saved before launch. CPU only, official calls 0.
Q3 5/93, 40 executions, 6.8s
Q3 10/93, 80 executions, 13.8s
Q3 15/93, 120 executions, 21.1s
Q3 20/93, 160 executions, 28.1s
Q3 25/93, 200 executions, 35.2s
Q3 30/93, 240 executions, 43.3s
Q3 35/93, 280 executions, 51.4s
Q3 40/93, 320 executions, 59.7s
Q3 45/93, 360 executions, 68.1s
Q3 50/93, 400 executions, 76.1s
Q3 55/93, 440 executions, 83.2s
Q3 60/93, 480 executions, 90.2s
Q3 65/93, 520 executions, 97.6s
Q3 70/93, 560 executions, 104.9s
Q3 75/93, 600 executions, 112.4s
Q3 76/93, 608 executions, 113.7s
Q3 77/93, 616 executions, 115.0s
Q3 78/93, 624 executions, 116.2s
Q3 79/93, 632 executions, 118.1s
Q3 80/93, 640 executions, 120.6s
Q3 81/93, 648 executions, 122.6s
Q3 82/93, 656 executions, 123.7s
Q3 83/93, 664 executions, 124.8s
Q3 84/93, 672 executions, 125.8s
Q3 85/93, 680 executions, 127.4s
Q3 86/93, 688 executions, 128.9s
Q3 87/93, 696 executions, 130.3s
Q3 88/93, 704 executions, 131.6s
Q3 89/93, 712 executions, 132.9s
Q3 90/93, 720 executions, 134.2s
Q3 91/93, 728 executions, 136.2s
Q3 92/93, 736 executions, 138.2s
Q3 93/93, 744 executions, 140.3s
Q4 5/93, 784 executions, 147.1s
Q4 10/93, 824 executions, 153.7s
Q4 15/93, 864 executions, 160.3s
Q4 20/93, 904 executions, 167.0s
Q4 25/93, 944 executions, 173.4s
Q4 30/93, 984 executions, 180.9s
Q4 35/93, 1024 executions, 188.4s
Q4 40/93, 1064 executions, 195.7s
Q4 45/93, 1104 executions, 203.0s
Q4 50/93, 1144 executions, 209.9s
Q4 55/93, 1184 executions, 217.0s
Q4 60/93, 1224 executions, 223.9s
Q4 65/93, 1264 executions, 230.8s
Q4 70/93, 1304 executions, 237.8s
Q4 75/93, 1344 executions, 244.3s
Q4 76/93, 1352 executions, 245.1s
Q4 77/93, 1360 executions, 246.0s
Q4 78/93, 1368 executions, 246.9s
Q4 79/93, 1376 executions, 248.0s
Q4 80/93, 1384 executions, 249.3s
Q4 81/93, 1392 executions, 250.5s
Q4 82/93, 1400 executions, 251.4s
Q4 83/93, 1408 executions, 252.3s
Q4 84/93, 1416 executions, 253.2s
Q4 85/93, 1424 executions, 254.5s
Q4 86/93, 1432 executions, 255.7s
Q4 87/93, 1440 executions, 256.9s
Q4 88/93, 1448 executions, 257.7s
Q4 89/93, 1456 executions, 258.5s
Q4 90/93, 1464 executions, 259.3s
Q4 91/93, 1472 executions, 260.7s
Q4 92/93, 1480 executions, 261.8s
Q4 93/93, 1488 executions, 263.0s
Completed 1488 executions
