active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,certified_scan_skips,clear_calls,cleared,commands,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,deferred_nonstationary_skips,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,failure,faithful_attempt_memory_updates,faithful_nonstationary_retained,faithful_stationary_skips,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,logical_negative_memory_limit,maximum_source_primary_rf,maximum_source_rounds,measurements,method,minimum_actual_unknown_per_station,minimum_unknown_actions_per_station,missed_channels,move_m,optical_fallback_calls,optical_max_cover_radius,outer_priority_used,packet_fallbacks,pair_prediction_checks,per_source_s,policy_cleared_channels,predicted_pair_skips,probe_angle_cap_deg,problem,public_empty_scan_skips,public_empty_scans,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,wall_s
6,0,True,0,6,1,1,0,uniform__iid__67,uniform__iid,9,,,10,10,361,bounded_transverse_width,,,,0.03270099999999998,,10,,0,0,,,,,,0,0,,2,38,0,,2,2,349,width_convex22,,,[],20972.215750037813,0,0.0,False,0,,631.6443147,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,30.0,4,,,67,,10,1,2,2,16,10,ordinary,22,full_coverage_and_all_discovered_cleared,327,6316.443147,40.0,constant,0.03305441600969061
6,0,True,0,6,1,1,0,uniform__iid__67,uniform__iid,9,44,,10,10,317,bounded_transverse_width,,base,0,0.031046999999999936,,10,,0,0,,,,,False,0,0,44,2,38,0,,2,2,305,range_convex22,,,[],20972.215750037813,0,0.0,False,0,,605.2443147,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,30.0,4,,,67,1.0,10,1,2,2,16,10,ordinary,22,full_coverage_and_all_discovered_cleared,283,6052.443147,40.0,constant,0.031067708041518927
6,0,True,0,6,1,1,0,uniform__iid__67,uniform__iid,9,44,44,10,10,317,bounded_transverse_width,,base,0,0.034161999999999915,0,10,,0,0,,44,0,44,False,0,0,44,2,38,0,8,2,2,305,predict_convex22,10,,[],20972.215750037813,0,0.0,False,0,591,605.2443147,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,30.0,4,,,67,1.0,10,1,2,2,16,10,ordinary,22,full_coverage_and_all_discovered_cleared,283,6052.443147,40.0,constant,0.034176249988377094
7,1,True,0,7,1,1,0,uniform__iid__67,uniform__iid,9,0,,10,10,353,bounded_transverse_width,,locked,38,0.027932000000000068,,10,cached_distance_prefix_sum,0,0,,,,,True,0,0,0,4,0,0,,3,2,341,locked_full_convex22,,,[],22011.904280567767,0,0.0,False,0,,647.6380856,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,30.0,4,,,67,1.0,9,4,3,4,16,10,ordinary,22,full_coverage_and_all_discovered_cleared,319,6476.380856,40.0,constant,0.02796262502670288
7,1,True,0,7,1,1,0,uniform__iid__67,uniform__iid,9,33,34,10,10,319,bounded_transverse_width,,locked,38,0.03071999999999997,4,10,cached_distance_prefix_sum,0,0,,34,0,30,True,0,0,34,4,0,0,8,3,2,307,count_locked_convex22,10,10,[],22011.904280567767,0,0.0,False,0,373,627.6380856,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",1,30.0,4,0,0,67,1.0,9,4,3,4,16,10,ordinary,22,full_coverage_and_all_discovered_cleared,289,6276.380856,40.0,constant,0.030749999976251274
6,0,True,0,6,1,1,0,uniform__iid__67,uniform__iid,9,,,10,10,319,bounded_transverse_width,,,,0.030629999999999935,,10,,0,0,,,,,,0,0,,3,37,0,,2,2,307,width_closed21_3,,,[],20967.160481852243,0,0.0,False,0,,606.5432095,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,30.0,4,,,67,,12,0,0,3,16,10,ordinary,21,full_coverage_and_all_discovered_cleared,287,6065.432095,40.0,constant,0.030652625020593405
6,0,True,0,6,1,1,0,uniform__iid__67,uniform__iid,9,27,,10,10,292,bounded_transverse_width,,base,0,0.029761999999999955,,10,,0,0,,,,,False,0,0,27,3,37,0,,2,2,280,range_closed21_3,,,[],20967.160481852243,0,0.0,False,0,,590.3432095000001,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,30.0,4,,,67,1.0,12,0,0,3,16,10,ordinary,21,full_coverage_and_all_discovered_cleared,260,5903.432095,40.0,constant,0.02977600001031533
6,0,True,0,6,1,1,0,uniform__iid__67,uniform__iid,9,27,27,10,10,292,bounded_transverse_width,,base,0,0.03225,3,10,,0,0,,27,0,24,False,0,0,27,3,37,0,8,2,2,280,predict_closed21_3,10,,[],20967.160481852243,0,0.0,False,0,353,590.7432095,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,30.0,4,,,67,1.0,12,0,0,3,16,10,ordinary,21,full_coverage_and_all_discovered_cleared,264,5907.432095,40.0,constant,0.03226520796306431
4,1,True,0,4,2,2,0,uniform__iid__67,uniform__iid,8,0,,10,10,308,bounded_transverse_width,,locked,34,0.02714899999999998,,10,cached_distance_prefix_sum,0,0,,,,,True,0,0,0,2,0,0,,3,2,296,locked_full_closed21_3,,,[],20595.37332000496,0,0.0,False,0,,592.4074663,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,30.0,4,,,67,1.0,13,2,19,2,13,10,ordinary,21,full_coverage_and_all_discovered_cleared,275,5924.074663,40.0,constant,0.02716279204469174
4,1,True,0,4,2,2,0,uniform__iid__67,uniform__iid,8,17,17,10,10,291,bounded_transverse_width,,locked,34,0.029603999999999964,4,10,cached_distance_prefix_sum,0,0,,17,0,13,True,0,0,17,2,0,0,8,3,2,279,count_locked_closed21_3,10,10,[],20595.37332000496,0,0.0,False,0,252,582.7074663000001,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,30.0,4,0,0,67,1.0,13,2,19,2,13,10,ordinary,21,full_coverage_and_all_discovered_cleared,263,5827.074663,40.0,constant,0.02966212498722598
