active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,clear_calls,cleared,commands,cpu_s,discovered_channels,discovery_prior_worlds,discovery_priority_overrides,early_optical_success,early_optical_trials,failure,forced_continuations,inconsistent_updates,initialization_s,interrupted_channels,joint_route_solves,known_upper_bound_skips,last_sampled_unknown_worlds,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,problem,seed,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,wall_s
20,0,True,,,,,,uniform__iid__97,uniform__iid,11,11,11,142,0.16386,11,,,,,,,0,0.00016566598787903786,,,,,,,129,peer_layout9_proxy,[],15933.216422229849,0,,0.0,,,,363.78575336363633,"[1, 2, 5, 6, 12, 14, 15, 16, 17, 18, 19]",3,97,,,,,,11,ordinary,9,full_coverage_and_all_discovered_cleared,115,4001.643287,0.16521995898801833
8,0,True,0,0,0,0,0,uniform__iid__97,uniform__iid,7,13,11,148,0.02111500000000005,11,,,4,6,,,0,7.308396743610501e-05,,18,0,,,,133,clearance7,[],11508.266523155009,0,56.77600115321219,0.0,7,,,286.6048459090909,"[1, 2, 5, 6, 12, 14, 15, 16, 17, 18, 19]",3,97,16,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,125,3152.653305,0.021115000010468066
9,0,True,0,0,0,0,0,uniform__iid__97,uniform__iid,7,15,11,162,0.02193299999999998,11,,,4,8,,,0,6.579101318493485e-05,,20,0,,,,145,clearance9,[],12761.747117903351,0,25.19148304678612,0.0,7,,,316.39540218181816,"[1, 2, 5, 6, 12, 14, 15, 16, 17, 18, 19]",3,97,11,,0,,,11,ordinary,9,full_coverage_and_all_discovered_cleared,136,3480.349424,0.021956249955110252
8,0,True,0,0,0,0,0,uniform__iid__97,uniform__iid,8,13,11,152,0.023299999999999987,11,,,3,5,,0,0,8.329196134582162e-05,1,26,0,,2,2,137,packet_center7,[],11303.579248610431,0,83.67844964280327,0.0,8,,0,284.8832590909091,"[1, 2, 5, 6, 12, 14, 15, 16, 17, 18, 19]",3,97,19,,0,1,19,11,ordinary,7,full_coverage_and_all_discovered_cleared,127,3133.71585,0.023395917029120028
10,0,True,0,0,0,0,0,uniform__iid__97,uniform__iid,9,14,11,151,0.023407999999999984,11,,,2,5,,0,0,7.499998901039362e-05,4,30,0,,2,2,135,packet_center9,[],12960.263791054174,0,49.233127452614866,0.0,9,,0,314.5502506363636,"[1, 2, 5, 6, 12, 14, 15, 16, 17, 18, 19]",3,97,10,,7,4,21,11,ordinary,9,full_coverage_and_all_discovered_cleared,129,3460.052757,0.02348683396121487
23,0,True,,,,,,uniform__iid__98,uniform__iid,12,12,12,136,0.17534099999999997,12,,,,,,,0,7.379095768555999e-05,,,,,,,122,peer_layout9_proxy,[],20872.68313730639,0,,0.0,,,,412.4613856666667,"[2, 5, 8, 9, 11, 12, 14, 15, 16, 18, 19, 20]",3,98,,,,,,12,ordinary,9,full_coverage_and_all_discovered_cleared,105,4949.536628,0.17549587500980124
7,0,True,0,0,0,0,0,uniform__iid__98,uniform__iid,8,15,12,153,0.022312,12,,,4,7,,,0,5.716702435165644e-05,,19,0,,,,136,clearance7,[],10846.976321360524,0,68.97824331906926,0.0,8,,,253.69960541666669,"[2, 5, 8, 9, 11, 12, 14, 15, 16, 18, 19, 20]",3,98,19,,0,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,126,3044.395265,0.02233025000896305
8,0,True,0,0,0,0,0,uniform__iid__98,uniform__iid,6,15,12,168,0.025718999999999936,12,,,6,9,,,0,7.220800034701824e-05,,21,0,,,,151,clearance9,[],13436.640861792406,0,45.48492534944796,0.0,6,,,304.02734749999996,"[2, 5, 8, 9, 11, 12, 14, 15, 16, 18, 19, 20]",3,98,33,,6,,,12,ordinary,9,full_coverage_and_all_discovered_cleared,137,3648.32817,0.025726750027388334
6,0,True,0,0,0,0,0,uniform__iid__98,uniform__iid,8,15,12,153,0.0227750000000001,12,,,4,7,,0,0,7.720902794972062e-05,1,25,0,,2,2,136,packet_center7,[],10678.831293555782,0,58.34889132385378,0.0,8,,0,251.06385491666666,"[2, 5, 8, 9, 11, 12, 14, 15, 16, 18, 19, 20]",3,98,20,,0,1,18,12,ordinary,7,full_coverage_and_all_discovered_cleared,128,3012.766259,0.022782624990213662
7,0,True,0,0,0,0,0,uniform__iid__98,uniform__iid,5,14,12,168,0.027547999999999906,12,,,7,9,,0,0,6.770802428945899e-05,2,28,0,,2,2,152,packet_center9,[],12665.033257158264,0,39.926370217783045,0.0,5,,0,291.41722108333335,"[2, 5, 8, 9, 11, 12, 14, 15, 16, 18, 19, 20]",3,98,33,,6,2,19,12,ordinary,9,full_coverage_and_all_discovered_cleared,138,3497.006653,0.027605082956142724
