active_measurements,active_no_signal,all_cleared,case_id,category,certified_clears,clear_calls,cleared,commands,cpu_s,discovered_channels,failure,inconsistent_updates,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_max_cover_radius,per_source_s,policy_cleared_channels,problem,seed,sources,split,stations_visited,stop_reason,switches,total_virtual_s,wall_s
16,0,True,uniform__iid__67,uniform__iid,10,10,10,150,0.13506700000000002,10,,0,138,baseline_peer9_active,[],16715.178060343696,0,0.0,421.10356119999994,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,10,ordinary,9,full_coverage_and_all_discovered_cleared,128,4211.035612,0.14157129201339558
17,0,True,uniform__iid__67,uniform__iid,10,10,10,148,0.13420300000000002,10,,0,136,q3_square9_h860_active,[],18419.870005126068,0,0.0,453.89740009999997,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,10,ordinary,9,full_coverage_and_all_discovered_cleared,125,4538.974001,0.13429449999239296
17,0,True,uniform__iid__67,uniform__iid,10,10,10,148,0.13368599999999997,10,,0,136,q3_square9_h900_active,[],18174.554620388182,0,0.0,448.99109230000005,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,10,ordinary,9,full_coverage_and_all_discovered_cleared,125,4489.910923,0.13382033305242658
15,0,True,uniform__iid__67,uniform__iid,10,10,10,147,0.11204099999999995,10,,0,135,q3_square9_h1000_active,[],18041.57418329261,0,0.0,446.03148380000005,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,10,ordinary,9,full_coverage_and_all_discovered_cleared,127,4460.314838,0.11215870798332617
15,0,True,uniform__iid__67,uniform__iid,10,10,10,147,0.11303699999999994,10,,0,135,q3_square9_h1100_active,[],18001.75728816104,0,0.0,445.2351459,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,10,ordinary,9,full_coverage_and_all_discovered_cleared,127,4452.351459,0.11309454101137817
15,0,True,uniform__iid__67,uniform__iid,10,10,10,147,0.11199599999999998,10,,0,135,q3_square9_h1200_active,[],18359.84476638234,0,0.0,452.3968954,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,10,ordinary,9,full_coverage_and_all_discovered_cleared,127,4523.968954,0.11203370802104473
18,0,True,uniform__iid__67,uniform__iid,10,10,10,151,0.14619899999999986,10,,0,139,q3_alternating9_active,[],17034.27219126104,0,0.0,427.885444,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,10,ordinary,9,full_coverage_and_all_discovered_cleared,127,4278.85444,0.14636179094668478
18,0,True,uniform__iid__67,uniform__iid,10,10,10,151,0.1451929999999999,10,,0,139,q3_alternating9_wide_active,[],16782.646327095965,0,0.0,422.8529267,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,67,10,ordinary,9,full_coverage_and_all_discovered_cleared,127,4228.529267,0.1457836669869721
28,0,True,uniform__iid__68,uniform__iid,15,15,15,127,0.2210239999999999,15,,0,110,baseline_peer9_active,[],23240.182623055938,0,0.0,357.6691014666667,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,15,ordinary,9,full_coverage_and_all_discovered_cleared,92,5365.036522,0.22117583296494558
30,0,True,uniform__iid__68,uniform__iid,15,15,15,123,0.24372400000000005,15,,0,106,q3_square9_h860_active,[],23908.799015283617,0,0.0,364.78398673333334,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,15,ordinary,9,full_coverage_and_all_discovered_cleared,85,5471.759801,0.24383637501159683
29,0,True,uniform__iid__68,uniform__iid,15,15,15,122,0.23485299999999998,15,,0,105,q3_square9_h900_active,[],23742.03532766104,0,0.0,362.2271375333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,15,ordinary,9,full_coverage_and_all_discovered_cleared,85,5433.407063,0.23652904195478186
29,0,True,uniform__iid__68,uniform__iid,15,15,15,122,0.23690600000000006,15,,0,105,q3_square9_h1000_active,[],23697.53518361071,0,0.0,361.6338022666667,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,15,ordinary,9,full_coverage_and_all_discovered_cleared,85,5424.507034,0.23727291700197384
28,0,True,uniform__iid__68,uniform__iid,15,15,15,121,0.22231800000000002,15,,0,104,q3_square9_h1100_active,[],23286.682166579805,0,0.0,355.8224287333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,15,ordinary,9,full_coverage_and_all_discovered_cleared,85,5337.336431,0.2361536670359783
28,0,True,uniform__iid__68,uniform__iid,15,15,15,121,0.21668699999999985,15,,0,104,q3_square9_h1200_active,[],23350.86697105333,0,0.0,356.67822613333334,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,15,ordinary,9,full_coverage_and_all_discovered_cleared,85,5350.173392,0.2168558330158703
27,0,True,uniform__iid__68,uniform__iid,15,15,15,137,0.20630400000000026,15,,0,120,q3_alternating9_active,[],23125.016389989447,0,0.0,360.20021833333334,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,15,ordinary,9,full_coverage_and_all_discovered_cleared,103,5403.003275,0.20808104099705815
27,0,True,uniform__iid__68,uniform__iid,15,15,15,137,0.20940800000000026,15,,0,120,q3_alternating9_wide_active,[],22873.446200400824,0,0.0,356.8459492,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,68,15,ordinary,9,full_coverage_and_all_discovered_cleared,103,5352.689238,0.2098824999993667
27,0,True,uniform__iid__69,uniform__iid,15,15,15,132,0.22877800000000015,15,,0,115,baseline_peer9_active,[],22972.07927285665,0,0.0,356.36105680000003,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,15,ordinary,9,full_coverage_and_all_discovered_cleared,101,5345.415852,0.2476303749717772
26,0,True,uniform__iid__69,uniform__iid,15,15,15,135,0.20982800000000035,15,,0,118,q3_square9_h860_active,[],22529.74538930643,0,0.0,351.7299384666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,15,ordinary,9,full_coverage_and_all_discovered_cleared,105,5275.949077,0.21033245895523578
24,0,True,uniform__iid__69,uniform__iid,15,15,15,133,0.19283699999999993,15,,0,116,q3_square9_h900_active,[],22325.9590395846,0,0.0,348.34612039999996,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,15,ordinary,9,full_coverage_and_all_discovered_cleared,105,5225.191806,0.19340708397794515
24,0,True,uniform__iid__69,uniform__iid,15,15,15,132,0.1916369999999996,15,,0,115,q3_square9_h1000_active,[],22541.723426533215,0,0.0,350.8229791333333,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,15,ordinary,9,full_coverage_and_all_discovered_cleared,104,5262.344687,0.19215837499359623
25,0,True,uniform__iid__69,uniform__iid,15,15,15,133,0.19920000000000027,15,,0,116,q3_square9_h1100_active,[],22660.185268222453,0,0.0,352.73580366666664,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,15,ordinary,9,full_coverage_and_all_discovered_cleared,104,5291.037055,0.1996539169922471
24,0,True,uniform__iid__69,uniform__iid,15,15,15,132,0.1889590000000001,15,,0,115,q3_square9_h1200_active,[],22827.657092576334,0,0.0,354.63542786666665,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,15,ordinary,9,full_coverage_and_all_discovered_cleared,104,5319.531418,0.18953745800536126
26,0,True,uniform__iid__69,uniform__iid,15,15,15,127,0.20603000000000016,15,,0,110,q3_alternating9_active,[],23016.736703135954,0,0.0,355.0231560666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,15,ordinary,9,full_coverage_and_all_discovered_cleared,97,5325.347341,0.20663708302890882
27,0,True,uniform__iid__69,uniform__iid,15,15,15,127,0.21130799999999983,15,,0,110,q3_alternating9_wide_active,[],23057.40828538302,0,0.0,355.4321105333333,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",3,69,15,ordinary,9,full_coverage_and_all_discovered_cleared,95,5331.481658,0.2118409170070663
