active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,clear_calls,cleared,commands,configured_angle_schedule,configured_probe_angle_deg,cpu_s,discovered_channels,early_optical_success,early_optical_trials,failure,forced_continuations,inconsistent_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_max_cover_radius,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,problem,seed,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,wall_s
22,8,True,0,22,3,4,4,uniform__iid__67,uniform__iid,7,11,10,382,,,0.03592799999999999,10,0,0,,,0,,32,0,,,369,quarter22,[],21563.01684564927,0,0.0,False,,654.8603363,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",4,67,15,5,2,,,10,ordinary,22,full_coverage_and_all_discovered_cleared,338,6548.603363,0.03679937496781349
17,6,True,0,17,2,3,3,uniform__iid__67,uniform__iid,8,11,10,379,,,0.03749199999999997,10,0,0,,0,0,2,46,0,7,5,366,packet_center22,[],21487.191141071067,0,0.0,False,0,651.9438222,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",4,67,16,5,2,2,24,10,ordinary,22,full_coverage_and_all_discovered_cleared,339,6519.438222,0.03753183298977092
12,4,True,0,12,1,1,2,uniform__iid__67,uniform__iid,9,10,10,367,fixed,3.0,0.03206399999999998,10,0,0,,,0,,32,0,,,355,wide3_22,[],21127.924416034282,0,0.0,False,,638.158488,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",4,67,11,3,2,,,10,ordinary,22,full_coverage_and_all_discovered_cleared,331,6381.58488,0.032074916001874954
9,2,True,0,9,1,1,1,uniform__iid__67,uniform__iid,9,10,10,366,fixed,3.0,0.03331899999999999,10,0,0,,0,0,2,40,0,4,3,354,packet_wide3_22,[],20997.634737769,0,0.0,False,0,635.1526944,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",4,67,12,3,2,2,18,10,ordinary,22,full_coverage_and_all_discovered_cleared,332,6351.526944,0.03348024998558685
10,4,True,0,10,2,2,2,uniform__iid__67,uniform__iid,8,10,10,355,fixed,5.0,0.029557999999999973,10,0,0,,,0,,32,0,,,343,wide5_22,[],21103.991993364325,0,0.0,False,,630.5798394000001,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",4,67,9,2,2,,,10,ordinary,22,full_coverage_and_all_discovered_cleared,320,6305.798394,0.029566332988906652
7,2,True,0,7,2,2,1,uniform__iid__67,uniform__iid,8,10,10,353,fixed,5.0,0.03203400000000001,10,0,0,,0,0,1,38,0,3,2,341,packet_wide5_22,[],20869.14243703267,0,0.0,False,0,624.8828482,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",4,67,10,2,2,1,16,10,ordinary,22,full_coverage_and_all_discovered_cleared,320,6248.828482,0.03205058298772201
10,4,True,0,10,2,3,1,uniform__iid__67,uniform__iid,8,11,10,365,fixed,10.0,0.029415999999999998,10,0,0,,,0,,32,0,,,352,wide10_22,[],21186.30892000772,0,0.0,False,,637.8261781,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",4,67,9,2,1,,,10,ordinary,22,full_coverage_and_all_discovered_cleared,328,6378.261781,0.02944883395684883
8,3,True,0,8,2,3,1,uniform__iid__67,uniform__iid,8,11,10,364,fixed,10.0,0.03131299999999998,10,0,0,,0,0,1,38,0,3,2,351,packet_wide10_22,[],21014.741738840763,0,0.0,False,0,633.8948344,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",4,67,10,2,1,1,16,10,ordinary,22,full_coverage_and_all_discovered_cleared,328,6338.948344,0.03132466698298231
8,2,True,0,8,2,2,0,uniform__iid__67,uniform__iid,8,10,10,361,fixed,15.0,0.02938200000000002,10,0,0,,,0,,32,0,,,349,wide15_22,[],21176.316940913133,0,0.0,False,,635.4263384,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",4,67,9,0,2,,,10,ordinary,22,full_coverage_and_all_discovered_cleared,324,6354.263384,0.029391749994829297
6,1,True,0,6,2,2,0,uniform__iid__67,uniform__iid,8,10,10,360,fixed,15.0,0.03038200000000002,10,0,0,,0,0,1,37,0,3,2,348,packet_wide15_22,[],21002.555234926953,0,0.0,False,0,631.4511041,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",4,67,10,0,2,1,15,10,ordinary,22,full_coverage_and_all_discovered_cleared,324,6314.511041,0.03039629099657759
