active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,clear_calls,cleared,commands,coverage_full_survey_points,cpu_s,discovered_channels,early_optical_success,early_optical_trials,failure,inconsistent_updates,joint_route_solves,known_upper_bound_skips,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_max_cover_radius,per_source_s,policy_cleared_channels,problem,replaced_stations,replacement_measurements,replacement_proposals,replacement_surveys,seed,shared_known_measurements,skipped_precise_measurements,sources,split,stations_visited,stop_reason,switches,total_virtual_s,wall_s
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,12,10,133,,0.018430000000000002,10,3,5,,0,17,,119,baseline_task7,[],12507.464337677739,0,0.0,326.6492866,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,,,,,67,7,0,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3266.492866,0.01845887501258403
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,12,10,133,7,0.022462999999999983,10,3,5,,0,17,0,119,replace7,[],12507.464337677739,0,0.0,326.6492866,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,0,0,10,0,67,7,0,10,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,114,3266.492866,0.02248737495392561
5,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,6,11,10,137,7,0.022013999999999978,10,4,5,,0,0,0,124,replace7_nearest,[],13806.838985213953,0,0.0,355.2367795,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,0,0,8,0,67,9,3,10,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,118,3552.367795,0.02203466702485457
10,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,5,13,10,156,9,0.028453000000000006,10,5,8,,0,17,0,141,replace9,[],13608.304076821087,0,0.0,361.9660817,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,2,23,10,2,67,6,0,10,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,134,3619.660817,0.0284710829728283
10,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,5,13,10,156,9,0.027242000000000044,10,5,8,,0,0,0,141,replace9_nearest,[],13608.304076821087,0,0.0,361.9660817,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",3,2,23,10,2,67,6,0,10,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,134,3619.660817,0.02727479097666219
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,11,18,15,148,,0.027546000000000015,15,4,7,,0,22,,128,baseline_task7,[],11291.627306304414,0,0.0,206.95503079999997,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,,,,,68,32,0,15,ordinary,7,full_coverage_and_all_discovered_cleared,122,3104.325462,0.027570208010729402
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,11,18,15,148,7,0.03286699999999998,15,4,7,,0,22,0,128,replace7,[],11291.627306304414,0,0.0,206.95503079999997,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,0,0,15,0,68,32,0,15,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,122,3104.325462,0.032887790992390364
8,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,10,18,15,146,7,0.032847000000000015,15,5,8,,0,0,0,126,replace7_nearest,[],11034.95390739538,0,0.0,202.5993854,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,0,0,15,0,68,30,0,15,ordinary,7,continuous_replacement_coverage_and_all_discovered_cleared,118,3038.990781,0.032914500043261796
8,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,8,18,15,149,9,0.038366999999999984,15,7,10,,0,19,0,129,replace9,[],11461.830253708187,0,0.0,209.29106986666665,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,5,42,15,5,68,29,0,15,ordinary,4,continuous_replacement_coverage_and_all_discovered_cleared,118,3139.366048,0.03838116698898375
8,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,8,18,15,149,9,0.03740300000000002,15,7,10,,0,0,0,129,replace9_nearest,[],11461.830253708187,0,0.0,209.29106986666665,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",3,5,42,15,5,68,29,0,15,ordinary,4,continuous_replacement_coverage_and_all_discovered_cleared,118,3139.366048,0.037465417000930756
