active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,certified_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,deferred_nonstationary_skips,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,faithful_attempt_memory_updates,faithful_nonstationary_retained,faithful_stationary_skips,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,initialization_s,interrupted_channels,joint_route_solves,known_upper_bound_skips,logical_negative_memory_limit,maximum_source_primary_rf,maximum_source_rounds,measurements,method,minimum_actual_unknown_per_station,minimum_unknown_actions_per_station,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,pair_prediction_checks,per_source_s,policy_cleared_channels,predicted_pair_skips,probe_angle_cap_deg,problem,public_empty_scan_skips,public_empty_scans,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
24,0,True,,,,,,uniform__iid__147,uniform__iid,14,,,14,14,134,,,,,,0.18837000000000004,,14,,,,,,,,,,,0,,5.425000563263893e-05,,,,,,,118,peer_layout9_proxy,,,[],20133.733699299068,0,,0.0,,,,,342.1961955714286,"[2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 15, 18, 19, 20]",,,3,,,147,,,,,,,14,ordinary,9,full_coverage_and_all_discovered_cleared,104,4790.746738,,,,0.1892687079962343
7,0,True,0,0,0,0,0,uniform__iid__147,uniform__iid,7,,,15,14,141,1.0,,,,,0.023892000000000024,,14,,7,8,False,,,,,,,0,,0.000322124978993088,,21,0,,,,124,area_return1_7,,,[],11891.196728074658,0,61.05253010679369,0.0,7,,,,227.51709607142857,"[2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 15, 18, 19, 20]",,,3,,,147,,27,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,114,3185.239345,,,True,0.024037334020249546
7,0,True,0,0,0,0,0,uniform__iid__147,uniform__iid,7,0,,15,14,141,1.0,,,base,0,0.02391600000000005,,14,,7,8,False,,,,,False,,0,0,0.0001040829811245203,,21,0,,,,124,range_area7,,,[],11891.196728074658,0,61.05253010679369,0.0,7,,,,227.51709607142857,"[2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 15, 18, 19, 20]",,,3,,,147,1.0,27,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,114,3185.239345,,,True,0.02393712499178946
7,0,True,0,0,0,0,0,uniform__iid__147,uniform__iid,7,0,0,15,14,141,1.0,,,base,0,0.024297000000000013,0,14,,7,8,False,,0,0,0,False,,0,0,0.00011545798042789102,,21,0,4,,,124,deferred_area7,7,,[],11891.196728074658,0,61.05253010679369,0.0,7,,,0,227.51709607142857,"[2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 15, 18, 19, 20]",0,,3,,,147,1.0,27,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,114,3185.239345,,,True,0.024315625021699816
7,0,True,0,0,0,0,0,uniform__iid__147,uniform__iid,7,0,0,15,14,141,1.0,,,base,0,0.023950000000000138,0,14,,7,8,False,,0,0,0,False,,0,0,9.287503780797124e-05,,21,0,4,,,124,lean_deferred_area7,7,,[],11891.196728074658,0,61.05253010679369,0.0,7,,,0,227.51709607142857,"[2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 15, 18, 19, 20]",0,,3,,,147,1.0,27,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,114,3185.239345,,,True,0.023949208960402757
25,0,True,,,,,,uniform__iid__148,uniform__iid,13,,,13,13,149,,,,,,0.20678699999999983,,13,,,,,,,,,,,0,,6.495905108749866e-05,,,,,,,134,peer_layout9_proxy,,,[],21178.573262747734,0,,0.0,,,,,391.5165121538461,"[2, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20]",,,3,,,148,,,,,,,13,ordinary,9,full_coverage_and_all_discovered_cleared,119,5089.714658,,,,0.20696250000037253
14,0,True,0,0,0,0,0,uniform__iid__148,uniform__iid,6,,,17,13,158,1.0,,,,,0.027627000000000068,,13,,7,11,False,,,,,,,0,,7.254100637510419e-05,,20,0,,,,139,area_return1_7,,,[],14272.910044088365,0,41.678792873852416,0.0,6,,,,289.04476992307696,"[2, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20]",,,3,,,148,,11,,0,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,131,3757.582009,,,True,0.027653458004351705
14,0,True,0,0,0,0,0,uniform__iid__148,uniform__iid,6,2,,17,13,156,1.0,,,base,0,0.02783100000000016,,13,,7,11,False,,,,,False,,0,0,8.304096991196275e-05,,20,0,,,,137,range_area7,,,[],14272.910044088365,0,41.678792873852416,0.0,6,,,,288.121693,"[2, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20]",,,3,,,148,1.0,11,,0,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,129,3745.582009,,,True,0.02789141604444012
14,0,True,0,0,0,0,0,uniform__iid__148,uniform__iid,6,2,2,17,13,156,1.0,,,base,0,0.028366000000000113,0,13,,7,11,False,,2,0,2,False,,0,0,8.612498641014099e-05,,20,0,4,,,137,deferred_area7,10,,[],14272.910044088365,0,41.678792873852416,0.0,6,,,0,288.121693,"[2, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20]",0,,3,,,148,1.0,11,,0,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,129,3745.582009,,,True,0.028374458954203874
14,0,True,0,0,0,0,0,uniform__iid__148,uniform__iid,6,2,2,17,13,156,1.0,,,base,0,0.028240000000000043,0,13,,7,11,False,,2,0,2,False,,0,0,8.19170381873846e-05,,20,0,4,,,137,lean_deferred_area7,10,,[],14272.910044088365,0,41.678792873852416,0.0,6,,,0,288.121693,"[2, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20]",0,,3,,,148,1.0,11,,0,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,129,3745.582009,,,True,0.028243541019037366
