active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,certified_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,deferred_nonstationary_skips,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,faithful_attempt_memory_updates,faithful_nonstationary_retained,faithful_stationary_skips,fixed_scan_order,forced_continuations,historical_anchor_mode,historical_batch_screens,historical_cache_evictions,historical_exact_clip_calls,historical_inconsistent_cuts,historical_negative_limit,historical_pair_checks,historical_pair_cuts,historical_pair_updates,inconsistent_updates,inferred_negative_memory_updates,initialization_s,interrupted_channels,joint_route_solves,known_upper_bound_skips,logical_negative_memory_limit,maximum_source_primary_rf,maximum_source_rounds,measurements,method,minimum_actual_unknown_per_station,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,pair_prediction_checks,per_source_s,policy_cleared_channels,predicted_pair_skips,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
17,0,True,,,,,,uniform__iid__137,uniform__iid,10,,,10,10,141,,,,,,0.138814,,10,,,,,,,,,,,,,,,,,,,,0,,0.0002501249546185136,,,,,,,129,peer_layout9_proxy,,[],18467.482401646615,0,,0.0,,,,,450.5496481,"[1, 6, 7, 8, 9, 11, 14, 16, 17, 20]",,,3,137,,,,,,,10,ordinary,9,full_coverage_and_all_discovered_cleared,117,4505.496481,,,,0.13977954199071974
5,0,True,0,0,0,0,0,uniform__iid__137,uniform__iid,8,,,12,10,142,1.0,,,,,0.02004800000000001,,10,,2,4,False,,,,,,,,,,,,,,,,0,,7.800001185387373e-05,,17,0,,,,128,area_return1_7,,[],10123.078153458126,0,73.67688681922999,0.0,8,,,,283.8615631,"[1, 6, 7, 8, 9, 11, 14, 16, 17, 20]",,,3,137,,12,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,118,2838.615631,,,True,0.020627791993319988
5,0,True,0,0,0,0,0,uniform__iid__137,uniform__iid,8,4,,12,10,138,1.0,,,base,0,0.01971400000000001,,10,,2,4,False,,,,,False,,,,,,,,,,,0,0,9.708298603072762e-05,,17,0,,,,124,range_area7,,[],10123.078153458126,0,73.67688681922999,0.0,8,,,,281.46156310000003,"[1, 6, 7, 8, 9, 11, 14, 16, 17, 20]",,,3,137,1.0,12,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,2814.615631,,,True,0.019729292020201683
5,0,True,0,0,0,0,0,uniform__iid__137,uniform__iid,8,4,,12,10,138,1.0,,,base,0,0.020972000000000046,,10,,2,4,False,,4,0,4,False,,,,,,,,,,,0,0,9.208300616592169e-05,,17,0,,,,124,faithful_area7,,[],10123.078153458126,0,73.67688681922999,0.0,8,,,,281.46156310000003,"[1, 6, 7, 8, 9, 11, 14, 16, 17, 20]",,,3,137,1.0,12,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,2814.615631,,,True,0.020973000035155565
5,0,True,0,0,0,0,0,uniform__iid__137,uniform__iid,8,4,4,12,10,138,1.0,,,base,0,0.02011099999999999,0,10,,2,4,False,,4,0,4,False,,,,,,,,,,,0,0,7.937499321997166e-05,,17,0,4,,,124,deferred_area7,10,[],10123.078153458126,0,73.67688681922999,0.0,8,,,0,281.46156310000003,"[1, 6, 7, 8, 9, 11, 14, 16, 17, 20]",0,,3,137,1.0,12,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,2814.615631,,,True,0.0201412090100348
17,0,True,,,,,,uniform__iid__138,uniform__iid,11,,,11,11,151,,,,,,0.141131,,11,,,,,,,,,,,,,,,,,,,,0,,6.845803000032902e-05,,,,,,,138,peer_layout9_proxy,,[],19263.85069171208,0,,0.0,,,,,429.6154671818182,"[3, 4, 6, 7, 8, 9, 10, 13, 14, 15, 20]",,,3,138,,,,,,,11,ordinary,9,full_coverage_and_all_discovered_cleared,128,4725.770139,,,,0.14127816702239215
8,0,True,0,0,0,0,0,uniform__iid__138,uniform__iid,6,,,13,11,141,1.0,,,,,0.020525999999999933,,11,,5,7,False,,,,,,,,,,,,,,,,0,,5.8959005400538445e-05,,18,0,,,,126,area_return1_7,,[],13119.982209347172,0,31.605471555290283,0.0,6,,,,311.9996765454546,"[3, 4, 6, 7, 8, 9, 10, 13, 14, 15, 20]",,,3,138,,13,,4,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,117,3431.996442,,,True,0.020577208022587
8,0,True,0,0,0,0,0,uniform__iid__138,uniform__iid,6,5,,13,11,136,1.0,,,base,0,0.0207139999999999,,11,,5,7,False,,,,,False,,,,,,,,,,,0,0,7.833301788195968e-05,,18,0,,,,121,range_area7,,[],13119.982209347172,0,31.605471555290283,0.0,6,,,,309.27240381818183,"[3, 4, 6, 7, 8, 9, 10, 13, 14, 15, 20]",,,3,138,1.0,13,,4,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,112,3401.996442,,,True,0.02071370801422745
8,0,True,0,0,0,0,0,uniform__iid__138,uniform__iid,6,5,,13,11,136,1.0,,,base,0,0.020754999999999968,,11,,5,7,False,,5,0,5,False,,,,,,,,,,,0,0,7.162499241530895e-05,,18,0,,,,121,faithful_area7,,[],13119.982209347172,0,31.605471555290283,0.0,6,,,,309.27240381818183,"[3, 4, 6, 7, 8, 9, 10, 13, 14, 15, 20]",,,3,138,1.0,13,,4,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,112,3401.996442,,,True,0.020760957966558635
8,0,True,0,0,0,0,0,uniform__iid__138,uniform__iid,6,5,5,13,11,136,1.0,,,base,0,0.02166900000000005,0,11,,5,7,False,,5,0,5,False,,,,,,,,,,,0,0,8.083402644842863e-05,,18,0,4,,,121,deferred_area7,10,[],13119.982209347172,0,31.605471555290283,0.0,6,,,0,309.27240381818183,"[3, 4, 6, 7, 8, 9, 10, 13, 14, 15, 20]",0,,3,138,1.0,13,,4,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,112,3401.996442,,,True,0.021973334020003676
