active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,certified_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,deferred_nonstationary_skips,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,faithful_attempt_memory_updates,faithful_nonstationary_retained,faithful_stationary_skips,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,logical_negative_memory_limit,maximum_source_primary_rf,maximum_source_rounds,measurements,method,minimum_actual_unknown_per_station,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,pair_prediction_checks,per_source_s,policy_cleared_channels,predicted_pair_skips,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,3,3,12,10,130,1.0,,,base,0,0.020011999999999974,1,10,,3,5,False,,3,0,2,False,,0,0,,17,0,4,,,116,deferred_area7,10,[],12450.081271938308,0,49.195608055153805,0.0,7,,,0,323.8016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,,3,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,112,3238.016252,,,True,0.02005950000602752
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,3,3,12,10,130,1.0,,,base,0,0.01841699999999996,1,10,,3,5,False,,3,0,2,False,,0,0,,17,0,4,,,116,lean_deferred_area7,10,[],12450.081271938308,0,49.195608055153805,0.0,7,,,0,323.8016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,,3,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,112,3238.016252,,,True,0.01841737498762086
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,10,0,0,18,15,149,1.0,,,base,0,0.02942100000000003,0,15,,5,8,False,,0,0,0,False,,0,0,,22,0,4,,,129,deferred_area7,5,[],11258.355683768476,0,68.94379760295948,0.0,10,,,0,206.9114092,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",0,,3,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3103.671138,,,True,0.029461416008416563
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,10,0,0,18,15,149,1.0,,,base,0,0.029737999999999987,0,15,,5,8,False,,0,0,0,False,,0,0,,22,0,4,,,129,lean_deferred_area7,5,[],11258.355683768476,0,68.94379760295948,0.0,10,,,0,206.9114092,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",0,,3,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,123,3103.671138,,,True,0.02974804100813344
7,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,5,0,0,16,15,143,1.0,,,base,0,0.02645700000000001,0,15,,10,11,False,,0,0,0,False,,0,0,,22,0,4,,,125,deferred_area7,5,[],12833.52283590028,0,49.76008032836796,0.0,5,,,0,225.5803046,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",0,,3,69,1.0,28,,7,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,114,3383.704569,,,True,0.026475624996237457
7,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,5,0,0,16,15,143,1.0,,,base,0,0.02691300000000002,0,15,,10,11,False,,0,0,0,False,,0,0,,22,0,4,,,125,lean_deferred_area7,5,[],12833.52283590028,0,49.76008032836796,0.0,5,,,0,225.5803046,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",0,,3,69,1.0,28,,7,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,114,3383.704569,,,True,0.027013749990146607
8,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,6,3,3,13,10,138,1.0,,,base,0,0.02082400000000001,1,10,,4,7,False,,3,0,2,False,,0,0,,17,0,4,,,123,deferred_area7,11,[],11127.182320072005,0,36.3364416117673,0.0,6,,,0,301.5436465,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",0,,3,70,1.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,116,3015.436465,,,True,0.02082270901883021
8,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,6,3,3,13,10,138,1.0,,,base,0,0.02081700000000003,1,10,,4,7,False,,3,0,2,False,,0,0,,17,0,4,,,123,lean_deferred_area7,11,[],11127.182320072005,0,36.3364416117673,0.0,6,,,0,301.5436465,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",0,,3,70,1.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,116,3015.436465,,,True,0.020843292004428804
7,0,True,0,0,0,0,0,uniform__iid__71,uniform__iid,7,0,0,13,12,133,1.0,,,base,0,0.024388999999999994,0,12,,5,6,False,,0,0,0,False,,0,0,,19,0,4,,,118,deferred_area7,8,[],12153.650482723764,0,40.99123897655369,0.0,7,,,0,266.14417483333335,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",0,,3,71,1.0,22,,4,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,110,3193.730098,,,True,0.024436499981675297
7,0,True,0,0,0,0,0,uniform__iid__71,uniform__iid,7,0,0,13,12,133,1.0,,,base,0,0.024061999999999972,0,12,,5,6,False,,0,0,0,False,,0,0,,19,0,4,,,118,lean_deferred_area7,8,[],12153.650482723764,0,40.99123897655369,0.0,7,,,0,266.14417483333335,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",0,,3,71,1.0,22,,4,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,110,3193.730098,,,True,0.024062166980002075
9,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,8,3,3,12,10,133,1.0,,,base,0,0.023082999999999965,1,10,,2,4,False,,3,0,2,False,,0,0,,17,0,4,,,119,deferred_area7,10,[],12540.003423868544,0,78.3020734411675,0.0,8,,,0,327.2000683,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,,3,67,1.0,8,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3272.000683,,,True,0.02338045899523422
9,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,8,3,3,12,10,133,1.0,,,base,0,0.022135000000000016,1,10,,2,4,False,,3,0,2,False,,0,0,,17,0,4,,,119,lean_deferred_area7,10,[],12540.003423868544,0,78.3020734411675,0.0,8,,,0,327.2000683,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,,3,67,1.0,8,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3272.000683,,,True,0.022247916960623115
12,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,12,4,4,19,15,158,1.0,,,base,0,0.03500800000000004,0,15,,3,7,False,,4,0,4,False,,0,0,,22,0,4,,,137,deferred_area7,5,[],12819.328505185638,0,112.15950215678339,0.0,12,,,0,230.6577134,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",0,,3,68,1.0,36,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,124,3459.865701,,,True,0.03505283297272399
12,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,12,4,4,19,15,158,1.0,,,base,0,0.03511400000000009,0,15,,3,7,False,,4,0,4,False,,0,0,,22,0,4,,,137,lean_deferred_area7,5,[],12819.328505185638,0,112.15950215678339,0.0,12,,,0,230.6577134,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",0,,3,68,1.0,36,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,124,3459.865701,,,True,0.03514716599602252
7,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,7,3,3,16,15,137,1.0,,,base,0,0.02812899999999996,0,15,,8,9,False,,3,0,3,False,,0,0,,22,0,4,,,119,deferred_area7,6,[],13126.1345818081,0,43.08970576885116,0.0,7,,,0,227.0817944,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",0,,3,69,1.0,23,,10,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,108,3406.226916,,,True,0.028151499980594963
7,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,7,3,3,16,15,137,1.0,,,base,0,0.027448000000000028,0,15,,8,9,False,,3,0,3,False,,0,0,,22,0,4,,,119,lean_deferred_area7,6,[],13126.1345818081,0,43.08970576885116,0.0,7,,,0,227.0817944,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",0,,3,69,1.0,23,,10,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,108,3406.226916,,,True,0.027458540978841484
5,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,4,1,1,10,10,135,1.0,,,base,0,0.017814999999999914,0,10,,6,6,False,,1,0,1,False,,0,0,,17,0,4,,,123,deferred_area7,10,[],11228.036691091005,0,25.521340928374684,0.0,4,,,0,302.760734,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",0,,3,70,1.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,117,3027.60734,,,True,0.017852250020951033
5,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,4,1,1,10,10,135,1.0,,,base,0,0.017145999999999995,0,10,,6,6,False,,1,0,1,False,,0,0,,17,0,4,,,123,lean_deferred_area7,10,[],11228.036691091005,0,25.521340928374684,0.0,4,,,0,302.760734,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",0,,3,70,1.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,117,3027.60734,,,True,0.01715845800936222
5,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,6,0,0,13,12,132,1.0,,,base,0,0.02362199999999992,0,12,,6,7,False,,0,0,0,False,,0,0,,19,0,4,,,117,deferred_area7,8,[],11457.765426791182,0,41.17540470974342,0.0,6,,,0,254.04609025,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",0,,3,71,1.0,22,,3,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,109,3048.553083,,,True,0.023622124979738146
5,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,6,0,0,13,12,132,1.0,,,base,0,0.022580999999999962,0,12,,6,7,False,,0,0,0,False,,0,0,,19,0,4,,,117,lean_deferred_area7,8,[],11457.765426791182,0,41.17540470974342,0.0,6,,,0,254.04609025,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",0,,3,71,1.0,22,,3,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,109,3048.553083,,,True,0.022604041965678334
10,0,True,0,0,0,0,0,uniform__adversarial-positive__67,uniform__adversarial-positive,9,3,3,15,10,136,1.0,,,base,0,0.020810000000000106,1,10,,1,6,False,,3,0,2,False,,0,0,,17,0,4,,,119,deferred_area7,10,[],12544.11036699349,0,59.11179150090638,0.0,9,,,0,328.1822072,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,,3,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3281.822072,,,True,0.02082770795095712
10,0,True,0,0,0,0,0,uniform__adversarial-positive__67,uniform__adversarial-positive,9,3,3,15,10,136,1.0,,,base,0,0.02092700000000003,1,10,,1,6,False,,3,0,2,False,,0,0,,17,0,4,,,119,lean_deferred_area7,10,[],12544.11036699349,0,59.11179150090638,0.0,9,,,0,328.1822072,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,,3,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3281.822072,,,True,0.020927458012010902
