active_measurements,active_no_signal,all_cleared,case_id,category,certified_clears,clear_calls,cleared,commands,cpu_s,discovered_channels,failure,inconsistent_updates,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_max_cover_radius,per_source_s,policy_cleared_channels,role,seed,sources,split,stations_visited,stop_reason,switches,task,total_virtual_s,wall_s
19,0,True,uniform__iid__57,uniform__iid,10,10,10,248,0.37819099999999994,10,,0,236,two_opt,[],42595.16887919557,0,0.0,996.0033776,"[1, 5, 7, 8, 11, 12, 13, 16, 17, 19]",baseline,57,10,confirmation,19,full_coverage_and_all_discovered_cleared,211,q3_active,9960.033776,0.38574783300282434
19,0,True,uniform__iid__57,uniform__iid,10,10,10,248,0.327847,10,,0,236,two_opt,[],42595.16887919557,0,0.0,996.0033776,"[1, 5, 7, 8, 11, 12, 13, 16, 17, 19]",selected,57,10,confirmation,19,full_coverage_and_all_discovered_cleared,211,q3_active,9960.033776,0.3328840839676559
21,0,True,uniform__iid__58,uniform__iid,14,14,14,206,0.355163,14,,0,190,two_opt,[],45836.81910433566,0,0.0,739.7402729285715,"[2, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 18, 19, 20]",baseline,58,14,confirmation,19,full_coverage_and_all_discovered_cleared,169,q3_active,10356.363821,0.3656362500041723
21,0,True,uniform__iid__58,uniform__iid,14,14,14,206,0.35369399999999995,14,,0,190,two_opt,[],45836.81910433566,0,0.0,739.7402729285715,"[2, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 18, 19, 20]",selected,58,14,confirmation,19,full_coverage_and_all_discovered_cleared,169,q3_active,10356.363821,0.3599464580183849
19,0,True,uniform__iid__59,uniform__iid,11,11,11,266,0.3749229999999999,11,,0,253,two_opt,[],42411.181645458135,0,0.0,912.1123934545456,"[1, 3, 5, 8, 10, 11, 12, 14, 15, 16, 18]",baseline,59,11,confirmation,19,full_coverage_and_all_discovered_cleared,231,q3_active,10033.236328,0.38073466601781547
19,0,True,uniform__iid__59,uniform__iid,11,11,11,266,0.3957280000000001,11,,0,253,two_opt,[],42411.181645458135,0,0.0,912.1123934545456,"[1, 3, 5, 8, 10, 11, 12, 14, 15, 16, 18]",selected,59,11,confirmation,19,full_coverage_and_all_discovered_cleared,231,q3_active,10033.236328,0.45284391596214846
20,0,True,uniform__iid__60,uniform__iid,12,12,12,268,0.36127200000000004,12,,0,254,two_opt,[],44478.02214066298,0,0.0,871.5503691666667,"[1, 2, 3, 5, 6, 8, 9, 10, 13, 14, 16, 19]",baseline,60,12,confirmation,19,full_coverage_and_all_discovered_cleared,233,q3_active,10458.60443,0.373773125000298
20,0,True,uniform__iid__60,uniform__iid,12,12,12,268,0.37162000000000006,12,,0,254,two_opt,[],44478.02214066298,0,0.0,871.5503691666667,"[1, 2, 3, 5, 6, 8, 9, 10, 13, 14, 16, 19]",selected,60,12,confirmation,19,full_coverage_and_all_discovered_cleared,233,q3_active,10458.60443,0.3846277499687858
19,0,True,uniform__iid__61,uniform__iid,13,13,13,223,0.3474549999999996,13,,0,208,two_opt,[],42416.843614984304,0,0.0,751.9514402307692,"[1, 2, 6, 7, 8, 10, 11, 12, 13, 15, 16, 18, 20]",baseline,61,13,confirmation,19,full_coverage_and_all_discovered_cleared,187,q3_active,9775.368723,0.35629037499893457
19,0,True,uniform__iid__61,uniform__iid,13,13,13,223,0.33253600000000016,13,,0,208,two_opt,[],42416.843614984304,0,0.0,751.9514402307692,"[1, 2, 6, 7, 8, 10, 11, 12, 13, 15, 16, 18, 20]",selected,61,13,confirmation,19,full_coverage_and_all_discovered_cleared,187,q3_active,9775.368723,0.3378253330010921
25,0,True,uniform__iid__62,uniform__iid,14,14,14,206,0.4535129999999996,14,,0,190,two_opt,[],44795.935096073794,0,0.0,724.4419298571429,"[1, 3, 6, 8, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20]",baseline,62,14,confirmation,19,full_coverage_and_all_discovered_cleared,163,q3_active,10142.187018,0.4691077920142561
25,0,True,uniform__iid__62,uniform__iid,14,14,14,206,0.43973499999999976,14,,0,190,two_opt,[],44795.935096073794,0,0.0,724.4419298571429,"[1, 3, 6, 8, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20]",selected,62,14,confirmation,19,full_coverage_and_all_discovered_cleared,163,q3_active,10142.187018,0.4488100840244442
22,0,True,uniform__iid__63,uniform__iid,13,13,13,218,0.37005399999999966,13,,0,203,two_opt,[],44753.04200592908,0,0.0,785.4314154615384,"[2, 3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16]",baseline,63,13,confirmation,19,full_coverage_and_all_discovered_cleared,180,q3_active,10210.608401,0.3787745000445284
22,0,True,uniform__iid__63,uniform__iid,13,13,13,218,0.36863199999999985,13,,0,203,two_opt,[],44753.04200592908,0,0.0,785.4314154615384,"[2, 3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16]",selected,63,13,confirmation,19,full_coverage_and_all_discovered_cleared,180,q3_active,10210.608401,0.37369054096052423
23,0,True,uniform__iid__64,uniform__iid,13,13,13,211,0.4032090000000004,13,,0,196,two_opt,[],41217.64333342592,0,0.0,727.5022050769231,"[1, 2, 3, 4, 5, 7, 11, 12, 13, 16, 18, 19, 20]",baseline,64,13,confirmation,19,full_coverage_and_all_discovered_cleared,169,q3_active,9457.528666,0.41048274998320267
23,0,True,uniform__iid__64,uniform__iid,13,13,13,211,0.3915470000000001,13,,0,196,two_opt,[],41217.64333342592,0,0.0,727.5022050769231,"[1, 2, 3, 4, 5, 7, 11, 12, 13, 16, 18, 19, 20]",selected,64,13,confirmation,19,full_coverage_and_all_discovered_cleared,169,q3_active,9457.528666,0.39669066696660593
19,0,True,uniform__iid__65,uniform__iid,13,13,13,223,0.33360699999999976,13,,0,208,two_opt,[],41608.73178091993,0,0.0,739.5958735384615,"[2, 4, 6, 7, 8, 9, 10, 14, 15, 16, 17, 18, 20]",baseline,65,13,confirmation,19,full_coverage_and_all_discovered_cleared,188,q3_active,9614.746356,0.3422317079966888
19,0,True,uniform__iid__65,uniform__iid,13,13,13,223,0.31917300000000015,13,,0,208,two_opt,[],41608.73178091993,0,0.0,739.5958735384615,"[2, 4, 6, 7, 8, 9, 10, 14, 15, 16, 17, 18, 20]",selected,65,13,confirmation,19,full_coverage_and_all_discovered_cleared,188,q3_active,9614.746356,0.3247930830111727
13,0,True,uniform__iid__66,uniform__iid,10,10,10,267,0.22810299999999994,10,,0,255,two_opt,[],41437.34372154785,0,0.0,985.1468746,"[2, 5, 8, 9, 10, 13, 14, 15, 19, 20]",baseline,66,10,confirmation,19,full_coverage_and_all_discovered_cleared,239,q3_active,9851.468746,0.23226449999492615
13,0,True,uniform__iid__66,uniform__iid,10,10,10,267,0.23197299999999998,10,,0,255,two_opt,[],41437.34372154785,0,0.0,985.1468746,"[2, 5, 8, 9, 10, 13, 14, 15, 19, 20]",selected,66,10,confirmation,19,full_coverage_and_all_discovered_cleared,239,q3_active,9851.468746,0.23658808297477663
